,HI-LABEL
0,0
1,1
2,1
3,0
4,0
5,1
6,1
7,0
8,1
9,0
10,1
11,1
12,1
13,1
14,1
15,1
16,0
17,1
18,1
19,1
20,0
21,1
22,1
23,0
24,1
25,1
26,0
27,0
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,0
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,0
62,1
63,1
64,1
65,1
66,0
67,1
68,1
69,1
70,1
71,0
72,1
73,1
74,0
75,1
76,1
77,1
78,0
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,0
93,0
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,0
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,0
126,1
127,0
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,0
144,1
145,0
146,1
147,0
148,1
149,1
150,1
151,1
152,0
153,1
154,1
155,1
156,1
157,0
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,0
166,1
167,1
168,0
169,1
170,1
171,0
172,1
173,1
174,0
175,0
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,0
185,1
186,1
187,1
188,1
189,0
190,1
191,0
192,1
193,1
194,0
195,0
196,1
197,0
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,0
216,1
217,0
218,1
219,1
220,1
221,1
222,0
223,1
224,1
225,1
226,0
227,1
228,1
229,1
230,1
231,0
232,0
233,0
234,0
235,1
236,1
237,1
238,1
239,1
240,1
241,0
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,0
251,1
252,0
253,0
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,0
263,0
264,0
265,1
266,1
267,0
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,0
287,1
288,1
289,0
290,1
291,1
292,0
293,0
294,0
295,1
296,1
297,1
298,1
299,0
300,1
301,1
302,0
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,0
320,1
321,1
322,1
323,0
324,0
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,0
337,1
338,1
339,1
340,1
341,1
342,1
343,0
344,0
345,0
346,1
347,1
348,0
349,1
350,0
351,0
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,0
365,1
366,1
367,0
368,1
369,1
370,1
371,1
372,0
373,1
374,0
375,1
376,1
377,0
378,1
379,1
380,0
381,0
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,1
390,0
391,1
392,1
393,1
394,1
395,0
396,1
397,0
398,1
399,1
400,1
401,1
402,1
403,1
404,0
405,1
406,0
407,1
408,1
409,1
410,0
411,1
412,1
413,0
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,0
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,0
442,1
443,1
444,1
445,1
446,1
447,0
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,0
461,1
462,1
463,1
464,0
465,1
466,1
467,1
468,1
469,0
470,0
471,0
472,1
473,1
474,1
475,1
476,0
477,0
478,1
479,1
480,1
481,1
482,0
483,0
484,1
485,1
486,1
487,1
488,0
489,0
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,0
498,0
499,1
500,1
501,0
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,0
524,0
525,1
526,1
527,1
528,0
529,1
530,1
531,0
532,0
533,1
534,0
535,0
536,1
537,1
538,0
539,0
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,0
548,1
549,0
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,0
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,0
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,0
582,0
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,0
591,0
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,0
612,0
613,1
614,1
615,0
616,0
617,0
618,0
619,0
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,0
647,0
648,1
649,0
650,0
651,1
652,0
653,1
654,0
655,0
656,0
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,0
669,1
670,1
671,1
672,1
673,0
674,1
675,0
676,1
677,1
678,0
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,0
688,1
689,1
690,1
691,0
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,0
700,0
701,1
702,1
703,1
704,1
705,1
706,0
707,1
708,0
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,0
723,1
724,1
725,0
726,0
727,1
728,0
729,0
730,0
731,1
732,1
733,0
734,1
735,1
736,0
737,1
738,1
739,1
740,1
741,1
742,0
743,0
744,1
745,0
746,1
747,0
748,0
749,1
750,0
751,1
752,1
753,0
754,1
755,0
756,1
757,0
758,0
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,0
767,1
768,1
769,0
770,1
771,1
772,0
773,0
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,0
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,1
794,0
795,1
796,1
797,0
798,1
799,1
800,1
801,1
802,1
803,0
804,1
805,0
806,1
807,0
808,1
809,0
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,0
818,1
819,1
820,1
821,1
822,1
823,1
824,0
825,1
826,1
827,1
828,1
829,0
830,1
831,1
832,0
833,1
834,1
835,1
836,1
837,1
838,0
839,1
840,1
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,1
853,1
854,1
855,0
856,1
857,1
858,1
859,1
860,1
861,0
862,1
863,0
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,0
875,1
876,0
877,1
878,1
879,0
880,1
881,0
882,1
883,1
884,1
885,1
886,1
887,0
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,1
897,0
898,0
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,1
907,1
908,0
909,1
910,1
911,1
912,1
913,0
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,1
923,0
924,1
925,1
926,0
927,1
928,1
929,1
930,0
931,1
932,0
933,1
934,1
935,1
936,0
937,1
938,0
939,1
940,0
941,1
942,1
943,0
944,0
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,0
957,1
958,0
959,1
960,1
961,0
962,1
963,1
964,1
965,1
966,0
967,0
968,0
969,0
970,1
971,1
972,1
973,0
974,1
975,1
976,1
977,1
978,1
979,1
980,1
981,0
982,0
983,1
984,1
985,0
986,1
987,1
988,1
989,0
990,0
991,1
992,1
993,1
994,1
995,0
996,0
997,0
998,0
999,1
1000,1
1001,1
1002,1
1003,0
1004,1
1005,1
1006,1
1007,1
1008,0
1009,0
1010,1
1011,1
1012,1
1013,0
1014,0
1015,1
1016,0
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1025,0
1026,1
1027,1
1028,0
1029,1
1030,1
1031,1
1032,0
1033,1
1034,1
1035,1
1036,0
1037,1
1038,1
1039,1
1040,0
1041,0
1042,1
1043,0
1044,0
1045,1
1046,1
1047,1
1048,0
1049,1
1050,1
1051,1
1052,1
1053,0
1054,1
1055,0
1056,1
1057,1
1058,1
1059,1
